Year;green
0;0
0;6
0;6
0;6
1;6
1;6
1;6
1;6
2;6
2;6
2;6
2;6
3;6
3;6
3;6
4;6
4;6
4;6
4;6
5;6
5;6
5;6
5;6
6;6
6;6
6;6
7;6
7;6
7;6
7;6
8;6
8;6
8;6
8;6
9;6
9;6
9;6
9;6
10;6
10;6
10;6
11;6
11;6
11;6
11;6
12;6
12;6
12;6
12;6
13;6
13;6
13;6
14;6
14;6
14;6
14;6
15;6
15;6
15;6
15;6
16;6
16;6
16;6
17;6
17;6
17;6
17;6
18;6
18;6
18;6
18;6
19;6
19;6
19;6
19;6
20;2
20;2
20;2
21;2
21;2
21;2
21;2
22;2
22;2
22;2
22;2
23;2
23;2
23;2
24;2
24;2
24;2
24;2
25;2
25;2
25;2
25;2
26;2
26;2
26;2
27;2
27;2
27;2
27;2
28;2
28;2
28;2
28;2
29;2
29;2
29;2
29;2
30;2
30;2
30;2
31;2
31;2
31;2
31;2
32;2
32;2
32;2
32;2
33;2
33;2
33;2
34;2
34;2
34;2
34;2
35;2
35;2
35;2
35;2
36;2
36;2
36;2
36;2
37;2
37;2
37;2
38;2
38;2
38;2
38;2
39;2
39;2
39;2
39;2
40;2
40;2
40;2
41;2
41;2
41;2
41;2
42;2
42;2
42;2
42;2
43;2
43;2
43;2
44;2
44;2
44;2
44;2
45;2
45;2
45;2
45;2
46;2
46;2
46;2
46;2
47;2
47;2
47;2
48;2
48;2
48;2
48;2
49;2
49;2
49;2
49;2
50;2
50;2
50;2
51;2
51;2
51;2
51;2
52;2
52;2
52;2
52;2
53;2
53;2
53;2
54;2
54;2
54;2
54;2
55;2
55;2
55;2
55;2
56;2
56;2
56;2
56;2
57;2
57;2
57;2
58;2
58;2
58;2
58;2
59;2
59;2
59;2
59;2
60;2
60;2
60;2
61;2
61;2
61;2
61;2
62;2
62;2
62;2
62;2
63;2
63;2
63;2
63;2
64;2
64;2
64;2
65;2
65;2
65;2
65;2
66;2
66;2
66;2
66;2
67;2
67;2
67;2
68;2
68;2
68;2
68;2
69;2
69;2
69;2
69;2
70;2
70;2
70;2
71;2
71;2
71;2
71;2
72;2
72;2
72;2
72;2
73;2
73;2
73;2
73;2
74;2
74;2
74;2
75;2
75;2
75;2
75;2
76;2
76;2
76;2
76;2
77;2
77;2
77;2
78;2
78;2
78;2
78;2
79;2
79;2
79;2
79;2
80;2
80;2
80;2
81;2
81;2
81;2
81;2
82;2
82;2
82;2
82;2
83;2
83;2
83;2
83;2
84;2
84;2
84;2
85;2
85;2
85;2
85;2
86;2
86;2
86;2
86;2
87;2
87;2
87;2
88;2
88;2
88;2
88;2
89;2
89;2
89;2
89;2
90;2
90;2
90;2
90;2
91;2
91;2
91;2
92;2
92;2
92;2
92;2
93;2
93;2
93;2
93;2
94;2
94;2
94;2
95;2
95;2
95;2
95;2
96;2
96;2
96;2
96;2
97;2
97;2
97;2
98;2
98;2
98;2
98;2
99;2
99;2
99;2
99;2
100;2
100;2
100;2
100;2
101;2
101;2
101;2
102;2
102;2
102;2
102;2
103;2
103;2
103;2
103;2
104;2
104;2
104;2
105;2
105;2
105;2
105;2
106;2
106;2
106;2
106;2
107;2
107;2
107;2
108;2
108;2
108;2
108;2
109;2
109;2
109;2
109;2
110;2
110;2
110;2
110;2
111;2
111;2
111;2
112;2
112;2
112;2
112;2
113;2
113;2
113;2
113;2
114;2
114;2
114;2
115;2
115;2
115;2
115;2
116;2
116;2
116;2
116;2
117;2
117;2
117;2
117;2
118;2
118;2
118;2
119;2
119;2
119;2
119;2
120;3
120;3
120;3
120;3
121;3
121;3
121;3
122;3
122;3
122;3
122;3
123;3
123;3
123;3
123;3
124;3
124;3
124;3
125;3
125;3
125;3
125;3
126;3
126;3
126;3
126;3
127;3
127;3
127;3
127;3
128;3
128;3
128;3
129;3
129;3
129;3
129;3
130;3
130;3
130;3
130;3
131;3
131;3
131;3
132;3
132;3
132;3
132;3
133;3
133;3
133;3
133;3
134;3
134;3
134;3
135;3
135;3
135;3
135;3
136;3
136;3
136;3
136;3
137;3
137;3
137;3
137;3
138;3
138;3
138;3
139;3
139;3
139;3
139;3
140;2
140;2
140;2
140;2
141;2
141;2
141;2
142;2
142;2
142;2
142;2
143;2
143;2
143;2
143;2
144;2
144;2
144;2
144;2
145;2
145;2
145;2
146;2
146;2
146;2
146;2
147;2
147;2
147;2
147;2
148;2
148;2
148;2
149;2
149;2
149;2
149;2
150;2
150;2
150;2
150;2
151;2
151;2
151;2
152;2
152;2
152;2
152;2
153;2
153;2
153;2
153;2
154;2
154;2
154;2
154;2
155;2
155;2
155;2
156;2
156;2
156;2
156;2
157;2
157;2
