Year;Year (each ant moves once a year on average)
		x
		Amount of food collected
0;0
0;0
1;0
2;0
4;0
5;0
7;0
8;0
10;0
11;0
13;0
14;0
16;0
17;0
19;0
20;0
22;0
23;0
24;0
26;0
27;0
29;0
30;0
32;0
33;0
35;0
36;0
38;0
39;0
41;0
42;0
44;0
45;0
46;0
48;1
49;1
51;1
52;1
54;1
55;1
57;1
58;1
60;1
61;1
63;1
64;1
66;1
67;1
68;1
70;2
71;3
73;4
74;4
76;4
77;4
79;4
80;4
82;4
83;4
85;4
86;4
88;4
89;4
90;4
92;4
93;4
95;4
96;5
98;5
99;5
101;8
102;8
104;8
105;9
107;9
108;9
110;9
111;9
112;9
114;9
115;9
117;9
118;9
120;9
121;9
123;10
124;10
126;11
127;11
129;11
130;11
132;11
133;11
134;11
136;11
137;11
139;11
140;11
142;11
143;11
145;11
146;11
148;11
149;11
151;11
152;11
154;11
155;11
156;11
158;11
159;11
161;11
162;11
164;11
165;11
167;11
168;11
170;11
171;11
173;11
174;11
176;11
177;11
178;11
180;11
181;11
183;11
184;11
186;11
187;11
189;11
190;11
192;11
193;11
195;11
196;11
198;11
199;11
200;11
202;11
203;11
205;11
206;11
208;12
209;12
211;12
212;12
214;12
215;13
217;13
218;15
220;15
221;15
222;15
224;15
225;15
227;15
228;15
230;15
231;15
233;15
234;15
236;16
237;16
239;16
240;17
242;18
243;18
244;18
246;18
247;19
249;19
250;19
252;19
253;20
255;21
256;21
258;21
259;22
261;22
262;22
264;23
265;23
266;24
268;24
269;24
271;24
272;24
274;24
275;24
277;24
278;26
280;26
281;26
283;26
284;28
286;29
287;29
288;29
290;29
291;30
293;30
294;31
296;31
297;31
299;31
300;31
302;31
303;31
305;31
306;31
308;31
309;31
310;33
312;33
313;33
315;33
316;34
318;35
319;36
321;36
322;36
324;36
325;36
327;36
328;36
330;36
331;36
332;37
334;37
335;37
337;37
338;37
340;37
341;38
343;39
344;40
346;42
347;42
349;43
350;43
352;44
353;44
354;44
356;44
357;44
359;44
360;45
362;45
363;46
365;47
366;47
368;47
369;47
371;48
372;48
374;49
375;49
376;49
378;49
379;49
381;49
382;49
384;49
385;49
387;50
388;50
390;50
391;50
393;50
394;50
396;51
397;51
398;51
400;52
401;52
403;52
404;52
406;54
407;54
409;54
410;54
412;54
413;55
415;55
416;55
418;55
419;57
420;57
422;57
423;57
425;58
426;58
428;58
429;58
431;59
432;59
434;59
435;60
437;62
438;63
440;63
441;63
442;63
444;63
445;64
447;64
448;64
450;64
451;65
453;65
454;65
456;65
457;65
459;65
460;65
462;65
463;65
464;66
466;66
467;68
469;71
470;71
472;71
473;71
475;72
476;72
478;72
479;72
481;72
482;72
484;73
485;74
486;74
488;74
489;75
491;75
492;75
494;75
495;75
497;76
498;77
500;77
501;78
503;78
504;78
506;79
507;80
508;80
510;82
511;83
513;83
514;84
516;84
517;85
519;86
520;87
522;88
523;88
525;88
526;88
528;88
529;88
530;88
532;88
533;88
535;89
536;92
538;92
539;93
541;94
542;95
544;96
545;96
547;96
548;96
550;96
551;96
552;96
554;97
555;97
557;98
558;98
560;99
561;99
563;99
564;99
566;100
567;100
569;100
570;100
572;101
573;102
574;103
576;104
577;104
579;104
580;106
582;106
583;106
585;106
586;107
588;107
589;107
591;109
592;109
594;109
595;110
596;110
598;110
599;110
601;110
602;110
604;110
605;110
607;110
608;110
610;110
611;111
613;111
614;111
616;111
617;111
618;112
620;112
621;113
623;114
624;114
626;114
627;114
629;114
630;115
632;116
633;116
635;117
636;117
638;117
639;117
640;118
642;118
643;118
645;120
646;121
648;121
649;122
651;122
652;122
654;123
655;123
657;123
658;123
660;123
661;124
662;124
664;124
665;125
667;126
668;126
670;126
671;126
673;126
674;126
676;126
677;127
679;127
680;127
682;127
683;127
684;127
686;127
687;127
689;128
690;129
692;129
693;129
695;130
696;131
698;131
699;131
701;131
702;131
704;131
705;131
706;131
708;131
709;131
711;131
712;131
714;131
715;132
717;132
718;132
720;132
721;132
723;132
724;132
726;132
727;132
728;132
730;132
731;132
733;132
734;132
736;132
737;132
739;132
740;132
742;132
743;132
745;132
746;132
748;132
749;132
750;132
752;132
753;132
755;132
756;132
758;132
759;132
761;132
762;132
764;132
765;132
767;132
768;132
770;132
771;132
772;132
774;132
775;132
777;132
778;132
780;132
781;132
783;132
784;132
786;132
787;132
789;132
790;132
792;132
793;132
794;132
796;132
797;132
799;132
800;132
802;132
803;132
805;132
806;132
808;132
809;132
811;132
812;132
814;132
815;132
816;132
818;132
819;132
821;132
822;132
824;132
825;132
827;132
828;132
830;132
831;132
833;132
834;132
836;132
837;132
838;132
840;132
841;132
843;132
844;132
846;132
847;132
849;132
850;132
852;132
853;132
855;132
856;132
858;132
859;132
860;132
862;132
863;132
865;132
866;132
868;132
869;132
871;132
872;132
874;132
875;132
877;132
878;132
880;132
881;132
882;132
884;132
885;132
887;132
888;132
890;132
891;132
893;132
894;132
896;132
897;132
899;132
900;132
902;132
903;132
904;132
906;132
907;132
909;132
910;132
912;132
913;132
915;132
916;132
918;132
919;132
921;132
922;132
924;132
925;132
926;132
928;132
929;132
931;132
932;132
934;132
935;132
937;132
938;132
940;132
941;132
