Year; gene1; gene2; local_MyValue
0; 0; 0; 0
0; 54; 46; 0
1; 54; 45; 0
2; 53; 52; 0
3; 51; 54; 0
4; 50; 58; 0
5; 49; 62; 0
6; 50; 66; 0
7; 50; 69; 0
8; 52; 74; 0
9; 50; 76; 0
10; 49; 78; 0
11; 51; 82; 0
12; 52; 83; 0
13; 50; 81; 0
14; 49; 82; 0
15; 49; 83; 0
16; 47; 85; 0
17; 46; 86; 0
18; 46; 87; 0
19; 44; 86; 0
20; 47; 85; 0
21; 46; 86; 0
22; 48; 86; 0
23; 50; 86; 0
24; 47; 87; 0
25; 49; 86; 0
26; 47; 86; 0
27; 47; 87; 0
28; 44; 87; 0
29; 46; 87; 0
30; 44; 87; 0
31; 44; 88; 0
32; 44; 88; 0
33; 44; 88; 0
34; 46; 87; 0
35; 45; 87; 0
36; 49; 87; 0
37; 49; 88; 0
38; 50; 89; 0
39; 48; 88; 0
40; 49; 88; 0
41; 49; 86; 0
42; 52; 87; 0
43; 53; 87; 0
44; 54; 86; 0
45; 54; 87; 0
46; 55; 87; 0
47; 55; 87; 0
48; 53; 88; 0
49; 51; 88; 0
50; 50; 88; 0
51; 50; 88; 0
52; 47; 89; 0
53; 50; 89; 0
54; 49; 89; 0
55; 50; 89; 0
56; 53; 89; 0
57; 57; 89; 0
58; 57; 89; 0
59; 58; 89; 0
60; 60; 89; 0
61; 58; 90; 0
62; 63; 89; 0
63; 64; 89; 0
64; 63; 87; 0
65; 62; 87; 0
66; 61; 87; 0
67; 61; 87; 0
68; 62; 89; 0
69; 61; 89; 0
70; 60; 90; 0
71; 59; 89; 0
72; 60; 90; 0
73; 62; 90; 0
74; 60; 90; 0
75; 59; 89; 0
76; 59; 88; 0
77; 59; 90; 0
78; 58; 90; 0
79; 59; 90; 0
80; 59; 89; 0
81; 57; 90; 0
82; 58; 89; 0
