Year;blue Satisfaction;red Satisfaction;yellow Satisfaction;brown Satisfaction
0;0.0;0.0;0.0;0.0
5;0.0;0.0;0.0;0.0
10;0.0;0.0;0.0;0.0
15;0.0;1.0;0.0;0.0
20;0.0;1.0;0.0;1.0
25;0.0;1.0;0.0;1.0
30;0.0;1.0;0.0;1.0
35;0.0;1.0;0.0;1.0
40;1.0;1.0;0.0;1.0
45;1.0;2.0;0.0;2.0
50;1.0;2.0;0.0;2.0
55;1.0;3.0;0.0;2.0
60;1.0;3.0;0.0;3.0
65;1.0;3.0;0.0;3.0
70;1.0;3.0;1.0;3.0
75;1.0;3.0;1.0;3.0
80;1.0;3.0;1.0;3.0
85;1.0;4.0;2.0;3.0
90;1.0;4.0;2.0;4.0
95;1.0;4.0;2.0;4.0
100;1.0;4.0;2.0;4.0
105;1.0;4.0;2.0;4.0
110;1.0;4.0;3.0;4.0
115;1.0;4.0;3.0;4.0
120;1.0;4.0;3.0;5.0
125;2.0;4.0;4.0;5.0
130;2.0;4.0;4.0;5.0
135;2.0;4.0;4.0;6.0
140;2.0;4.0;4.0;6.0
145;2.0;5.0;4.0;6.0
150;3.0;5.0;5.0;6.0
155;3.0;5.0;5.0;6.0
160;3.0;5.0;6.0;6.0
165;3.0;5.0;6.0;6.0
170;3.0;5.0;6.0;6.0
175;3.0;5.0;6.0;7.0
180;3.0;6.0;7.0;7.0
185;4.0;6.0;7.0;7.0
190;4.0;6.0;7.0;8.0
195;4.0;6.0;7.0;8.0
200;4.0;6.0;7.0;8.0
205;4.0;6.0;7.0;8.0
210;5.0;6.0;8.0;8.0
215;5.0;6.0;8.0;8.0
220;5.0;6.0;8.0;8.0
225;6.0;6.0;8.0;8.0
230;6.0;6.0;8.0;9.0
235;6.0;7.0;8.0;9.0
240;7.0;7.0;8.0;9.0
245;7.0;7.0;8.0;9.0
250;7.0;7.0;8.0;9.0
255;7.0;7.0;9.0;9.0
260;7.0;7.0;9.0;9.0
265;7.0;7.0;10.0;10.0
270;7.0;7.0;10.0;10.0
275;7.0;7.0;10.0;10.0
280;7.0;8.0;10.0;10.0
285;8.0;8.0;10.0;10.0
290;8.0;8.0;11.0;10.0
295;8.0;8.0;11.0;10.0
300;9.0;8.0;11.0;10.0
305;9.0;8.0;11.0;11.0
310;9.0;8.0;11.0;11.0
315;9.0;9.0;12.0;11.0
320;9.0;9.0;12.0;11.0
325;9.0;9.0;12.0;12.0
330;10.0;9.0;12.0;12.0
335;10.0;10.0;12.0;12.0
340;10.0;10.0;12.0;12.0
345;11.0;11.0;12.0;12.0
350;11.0;11.0;13.0;13.0
355;12.0;11.0;13.0;13.0
360;12.0;11.0;13.0;13.0
365;12.0;12.0;13.0;13.0
370;12.0;12.0;13.0;13.0
375;12.0;12.0;13.0;13.0
380;12.0;12.0;13.0;13.0
385;12.0;12.0;14.0;14.0
390;12.0;12.0;14.0;14.0
395;12.0;12.0;14.0;13.0
400;12.0;12.0;15.0;13.0
405;13.0;12.0;15.0;13.0
410;13.0;12.0;15.0;14.0
415;13.0;13.0;16.0;14.0
420;13.0;13.0;16.0;14.0
425;13.0;13.0;16.0;14.0
430;13.0;13.0;16.0;14.0
435;13.0;13.0;16.0;14.0
440;13.0;13.0;16.0;14.0
445;13.0;13.0;16.0;14.0
450;13.0;14.0;16.0;15.0
455;13.0;14.0;17.0;15.0
460;13.0;14.0;18.0;15.0
465;13.0;14.0;18.0;15.0
470;14.0;14.0;18.0;15.0
475;14.0;14.0;18.0;16.0
480;14.0;14.0;18.0;16.0
485;14.0;14.0;18.0;16.0
490;14.0;14.0;18.0;16.0
495;14.0;14.0;19.0;16.0
500;15.0;14.0;19.0;16.0
505;15.0;15.0;19.0;16.0
510;15.0;15.0;19.0;16.0
515;15.0;15.0;19.0;16.0
520;15.0;15.0;19.0;16.0
525;15.0;16.0;19.0;16.0
530;15.0;16.0;20.0;16.0
535;15.0;16.0;20.0;16.0
540;15.0;16.0;20.0;16.0
545;15.0;16.0;20.0;16.0
550;15.0;16.0;20.0;16.0
555;15.0;17.0;20.0;16.0
560;15.0;17.0;20.0;16.0
565;16.0;17.0;20.0;16.0
570;16.0;17.0;21.0;16.0
575;16.0;17.0;21.0;16.0
580;16.0;17.0;20.0;16.0
585;16.0;17.0;21.0;16.0
590;16.0;17.0;21.0;16.0
595;17.0;18.0;21.0;16.0
600;17.0;18.0;21.0;17.0
605;17.0;18.0;22.0;17.0
610;17.0;18.0;22.0;17.0
615;17.0;18.0;22.0;16.0
620;17.0;18.0;22.0;17.0
625;17.0;19.0;22.0;17.0
630;17.0;19.0;22.0;17.0
635;17.0;19.0;22.0;17.0
640;18.0;19.0;22.0;18.0
645;18.0;20.0;22.0;18.0
650;18.0;20.0;22.0;18.0
655;18.0;20.0;22.0;18.0
660;18.0;20.0;22.0;18.0
665;18.0;20.0;23.0;18.0
670;19.0;20.0;23.0;18.0
675;19.0;20.0;24.0;19.0
680;19.0;20.0;24.0;19.0
685;19.0;21.0;24.0;19.0
690;19.0;21.0;24.0;19.0
695;19.0;21.0;25.0;19.0
700;19.0;21.0;25.0;20.0
705;19.0;21.0;25.0;20.0
710;19.0;21.0;25.0;20.0
715;19.0;21.0;25.0;20.0
720;19.0;21.0;25.0;20.0
725;19.0;21.0;25.0;20.0
730;20.0;21.0;25.0;20.0
735;20.0;22.0;25.0;21.0
740;20.0;22.0;25.0;21.0
745;20.0;22.0;25.0;21.0
750;20.0;23.0;25.0;21.0
755;20.0;23.0;25.0;21.0
760;21.0;23.0;25.0;21.0
765;21.0;24.0;26.0;21.0
770;21.0;24.0;27.0;21.0
775;21.0;24.0;26.0;21.0
780;21.0;24.0;27.0;21.0
785;21.0;24.0;26.0;22.0
790;21.0;24.0;26.0;22.0
795;22.0;24.0;26.0;22.0
800;22.0;24.0;26.0;22.0
805;22.0;24.0;26.0;22.0
810;22.0;24.0;26.0;23.0
815;22.0;24.0;27.0;23.0
820;22.0;24.0;27.0;23.0
825;22.0;25.0;28.0;23.0
830;22.0;25.0;28.0;23.0
835;22.0;26.0;28.0;24.0
840;22.0;26.0;28.0;24.0
845;22.0;26.0;28.0;24.0
850;22.0;26.0;28.0;24.0
855;22.0;26.0;28.0;24.0
860;22.0;26.0;28.0;24.0
865;22.0;26.0;28.0;24.0
870;23.0;26.0;28.0;24.0
875;23.0;26.0;28.0;24.0
880;23.0;26.0;28.0;24.0
885;23.0;26.0;28.0;24.0
890;23.0;26.0;28.0;24.0
895;23.0;26.0;28.0;25.0
900;23.0;27.0;28.0;25.0
905;24.0;27.0;28.0;25.0
910;24.0;28.0;28.0;25.0
915;24.0;28.0;29.0;25.0
920;24.0;28.0;29.0;25.0
925;24.0;28.0;29.0;25.0
930;24.0;28.0;29.0;25.0
935;24.0;28.0;29.0;26.0
940;24.0;29.0;29.0;26.0
945;24.0;29.0;29.0;26.0
950;24.0;29.0;29.0;26.0
955;24.0;30.0;29.0;26.0
960;25.0;30.0;29.0;26.0
965;25.0;30.0;29.0;26.0
970;25.0;30.0;29.0;26.0
975;25.0;30.0;30.0;27.0
980;25.0;30.0;30.0;27.0
985;25.0;30.0;30.0;27.0
990;25.0;30.0;30.0;27.0
995;25.0;31.0;30.0;27.0
1000;25.0;31.0;30.0;27.0
1005;25.0;31.0;30.0;27.0
1010;25.0;31.0;30.0;28.0
1015;25.0;31.0;30.0;28.0
1020;25.0;32.0;30.0;28.0
1025;25.0;32.0;30.0;28.0
1030;26.0;32.0;31.0;28.0
