Year; Number of swallows perched; Perching probability
0; 0; 0
1; 0; 2.08
2; 1; 2.16
3; 1; 2.24
4; 2; 2.32
5; 2; 2.4
6; 1; 2.48
7; 0; 2.56
8; 0; 2.64
9; 0; 2.72
10; 0; 2.8
11; 0; 2.88
12; 0; 2.96
13; 0; 3.04
14; 0; 3.12
15; 0; 3.2
16; 0; 3.28
17; 0; 3.36
18; 0; 3.44
19; 1; 3.52
20; 2; 3.6
21; 2; 3.68
22; 1; 3.76
23; 1; 3.84
24; 1; 3.92
25; 2; 4.0
26; 2; 4.08
27; 3; 4.16
28; 4; 4.24
29; 3; 4.32
30; 3; 4.4
31; 2; 4.48
32; 4; 4.56
33; 4; 4.64
34; 3; 4.72
35; 1; 4.8
36; 1; 4.88
37; 1; 4.96
38; 0; 5.04
39; 0; 5.12
40; 1; 5.2
41; 1; 5.28
42; 1; 5.36
43; 2; 5.44
44; 3; 5.52
45; 2; 5.6
46; 1; 5.68
47; 0; 5.76
48; 1; 5.84
49; 1; 5.92
50; 0; 6.0
51; 0; 6.08
52; 1; 6.16
53; 4; 6.24
54; 6; 6.32
55; 7; 6.4
56; 6; 6.48
57; 5; 6.56
58; 10; 6.64
59; 15; 6.72
60; 20; 6.8
61; 26; 6.88
62; 36; 6.96
63; 58; 7.04
64; 93; 7.12
65; 121; 7.2
66; 140; 7.28
67; 169; 7.36
68; 169; 7.44
69; 180; 7.52
70; 188; 7.6
71; 185; 7.68
72; 194; 7.76
73; 195; 7.84
74; 197; 7.92
75; 198; 8.0
76; 197; 8.08
77; 199; 8.16
78; 200; 8.24
79; 197; 8.32
80; 197; 8.4
81; 194; 8.48
82; 195; 8.56
83; 199; 8.64
84; 199; 8.72
85; 199; 8.8
86; 196; 8.88
87; 197; 8.96
88; 196; 9.04
89; 198; 9.12
90; 193; 9.2
91; 196; 9.28
92; 197; 9.36
93; 200; 9.44
94; 198; 9.52
95; 193; 9.6
96; 194; 9.68
97; 196; 9.76
98; 200; 9.84
99; 198; 9.92
100; 194; 10.0
101; 197; 10.08
102; 199; 10.16
103; 199; 10.24
104; 197; 10.32
105; 197; 10.4
106; 195; 10.48
107; 199; 10.56
108; 198; 10.64
109; 197; 10.72
110; 196; 10.8
111; 191; 10.88
112; 193; 10.96
113; 194; 11.04
114; 198; 11.12
115; 195; 11.2
116; 197; 11.28
117; 198; 11.36
118; 193; 11.44
119; 194; 11.52
120; 198; 11.6
121; 197; 11.68
122; 196; 11.76
123; 190; 11.84
124; 193; 11.92
125; 196; 12.0
126; 195; 12.08
127; 192; 12.16
128; 197; 12.24
129; 197; 12.32
130; 193; 12.4
131; 192; 12.48
132; 195; 12.56
133; 196; 12.64
134; 198; 12.72
135; 196; 12.8
136; 198; 12.88
137; 198; 12.96
138; 196; 13.04
139; 196; 13.12
140; 198; 13.2
141; 198; 13.28
142; 198; 13.36
143; 198; 13.44
144; 197; 13.52
145; 198; 13.6
146; 197; 13.68
147; 196; 13.76
148; 199; 13.84
149; 196; 13.92
150; 197; 14.0
151; 199; 14.08
152; 200; 14.16
153; 199; 14.24
154; 198; 14.32
155; 197; 14.4
156; 198; 14.48
157; 199; 14.56
158; 195; 14.64
159; 195; 14.72
160; 197; 14.8
161; 199; 14.88
162; 194; 14.96
163; 198; 15.04
164; 198; 15.12
165; 196; 15.2
166; 197; 15.28
167; 199; 15.36
168; 199; 15.44
169; 198; 15.52
170; 195; 15.6
171; 196; 15.68
172; 199; 15.76
173; 198; 15.84
174; 197; 15.92
175; 199; 16.0
176; 200; 16.08
177; 199; 16.16
178; 198; 16.24
179; 197; 16.32
180; 195; 16.4
181; 195; 16.48
182; 194; 16.56
183; 195; 16.64
184; 198; 16.72
185; 193; 16.8
186; 192; 16.88
187; 199; 16.96
188; 193; 17.04
189; 196; 17.12
190; 198; 17.2
191; 194; 17.28
192; 196; 17.36
193; 197; 17.44
194; 198; 17.52
195; 199; 17.6
196; 195; 17.68
197; 197; 17.76
198; 199; 17.84
199; 193; 17.92
200; 195; 18.0
