Year;proportion of individuals perched;perching probability x 1000
0;0;0
0;0.0;2.0
1.0;0.0;2.0210000000000004
2.0;0.0;2.042
3.0;0.0;2.063
4.0;0.25;2.084
5.0;0.75;2.105
6.0;0.5;2.126
7.0;0.25;2.1470000000000002
8.0;0.5;2.168
9.0;0.25;2.189
10.0;0.0;2.21
11.0;0.0;2.231
12.0;0.25;2.2520000000000002
13.0;0.5;2.2729999999999997
14.0;0.75;2.294
15.0;0.5;2.3150000000000004
16.0;0.25;2.336
17.0;0.0;2.357
18.0;0.25;2.378
19.0;0.25;2.399
20.0;0.75;2.4200000000000004
21.0;0.75;2.441
22.0;1.0;2.462
23.0;0.75;2.483
24.0;0.5;2.504
25.0;0.5;2.5250000000000004
26.0;0.75;2.5460000000000003
27.0;0.75;2.5669999999999997
28.0;0.75;2.588
29.0;1.25;2.609
30.0;1.25;2.63
31.0;0.75;2.6510000000000002
32.0;0.75;2.6719999999999997
33.0;0.25;2.693
34.0;0.75;2.7140000000000004
35.0;0.75;2.735
36.0;0.25;2.7560000000000002
37.0;0.5;2.777
38.0;0.5;2.798
39.0;0.75;2.8190000000000004
40.0;0.75;2.84
41.0;0.25;2.861
42.0;0.5;2.882
43.0;0.75;2.903
44.0;0.75;2.924
45.0;0.5;2.9450000000000003
46.0;0.5;2.9659999999999997
47.0;0.0;2.987
48.0;0.25;3.0080000000000005
49.0;0.75;3.0290000000000004
50.0;1.25;3.0500000000000003
51.0;1.0;3.0709999999999997
52.0;1.0;3.092
53.0;1.0;3.1130000000000004
54.0;1.0;3.134
55.0;1.0;3.155
56.0;0.5;3.176
57.0;0.0;3.197
58.0;0.25;3.218
59.0;0.75;3.2390000000000003
60.0;0.5;3.26
61.0;0.5;3.281
62.0;0.5;3.302
63.0;0.5;3.3230000000000004
64.0;1.0;3.3440000000000003
65.0;1.75;3.3649999999999998
66.0;2.0;3.386
67.0;1.5;3.4070000000000005
68.0;1.0;3.4280000000000004
69.0;1.5;3.449
70.0;1.25;3.47
71.0;1.0;3.491
72.0;0.25;3.5120000000000005
73.0;0.5;3.533
74.0;0.5;3.554
75.0;1.0;3.575
76.0;0.75;3.596
77.0;1.0;3.617
78.0;1.0;3.6380000000000003
79.0;0.75;3.659
80.0;0.75;3.68
81.0;0.5;3.7010000000000005
82.0;0.0;3.7220000000000004
83.0;0.25;3.7430000000000003
84.0;1.0;3.764
85.0;1.25;3.785
86.0;1.5;3.8060000000000005
87.0;1.5;3.8270000000000004
88.0;1.5;3.848
89.0;1.0;3.869
90.0;0.75;3.89
91.0;1.0;3.9109999999999996
92.0;0.75;3.932
93.0;0.75;3.953
94.0;0.75;3.974
95.0;0.25;3.995
96.0;0.75;4.016000000000001
97.0;1.0;4.037
98.0;1.0;4.058000000000001
99.0;1.25;4.079
100.0;0.75;4.1000000000000005
101.0;0.75;4.1209999999999996
102.0;0.75;4.1419999999999995
103.0;1.0;4.163
104.0;0.75;4.184
105.0;0.5;4.205
106.0;0.5;4.226000000000001
107.0;0.5;4.247000000000001
108.0;1.0;4.268
109.0;1.5;4.289000000000001
110.0;1.25;4.31
111.0;0.5;4.3309999999999995
112.0;0.25;4.352
113.0;0.5;4.373
114.0;0.5;4.394
115.0;0.75;4.415000000000001
116.0;1.0;4.436
117.0;0.75;4.457000000000001
118.0;0.75;4.478000000000001
119.0;1.25;4.499
120.0;2.25;4.52
121.0;3.0;4.5409999999999995
122.0;2.25;4.562
123.0;1.25;4.583
124.0;0.75;4.604
125.0;1.25;4.625000000000001
126.0;1.5;4.646000000000001
127.0;1.25;4.667
128.0;1.25;4.688000000000001
129.0;1.0;4.709
130.0;0.5;4.7299999999999995
131.0;0.5;4.751
132.0;0.5;4.772
133.0;0.5;4.793
134.0;0.0;4.814000000000001
135.0;0.5;4.835
136.0;0.75;4.856000000000001
